TAGNAME,TIME,SUNANGLE,VALUE
Main Optic,11/06/2018 12:14,53.06888961,On
Main Optic,11/06/2018 12:26,52.91120445,Off
Main Optic,11/06/2018 12:26,52.90665213,On
Main Optic,11/06/2018 12:27,52.88376075,Off
Main Optic,11/06/2018 21:48,-1.351854199,On
Main Optic,12/06/2018 02:53,0.470206017,Off
Main Optic,12/06/2018 21:52,-1.500788928,On
Main Optic,13/06/2018 02:54,0.544225044,Off
Main Optic,13/06/2018 21:43,-1.045996407,On
Main Optic,14/06/2018 03:06,1.4625864,Off
Main Optic,14/06/2018 22:16,-2.388221533,On
Main Optic,15/06/2018 02:13,-1.596255763,Off
Main Optic,15/06/2018 22:27,-2.835497325,On
Main Optic,16/06/2018 02:01,-2.057042309,Off
Main Optic,16/06/2018 22:14,-2.216023073,On
Main Optic,17/06/2018 02:43,-0.058052199,Off
Main Optic,17/06/2018 21:56,-1.476338985,On
Main Optic,18/06/2018 02:45,0.096629814,Off
Main Optic,18/06/2018 21:42,-0.819609787,On
Main Optic,19/06/2018 02:25,-1.013966448,Off
Main Optic,19/06/2018 22:29,-2.813309028,On
Main Optic,20/06/2018 02:04,-1.895462231,Off
Main Optic,20/06/2018 02:11,-1.619193993,Off
Main Optic,20/06/2018 22:41,-3.721912658,On
Main Optic,21/06/2018 02:16,-1.42378164,Off
Main Optic,21/06/2018 22:35,-3.091811912,On
Main Optic,22/06/2018 02:00,-2.064905351,Off
Main Optic,22/06/2018 21:33,-0.289791666,On
Main Optic,23/06/2018 02:43,-0.049037993,Off
Main Optic,23/06/2018 21:38,-0.529560681,On
Main Optic,24/06/2018 03:02,1.156180698,Off
Main Optic,24/06/2018 22:35,-3.145636364,On
Main Optic,25/06/2018 02:16,-1.466940965,Off
Main Optic,25/06/2018 22:07,-1.880314579,On
Main Optic,26/06/2018 02:44,-0.100441033,Off
Main Optic,26/06/2018 21:58,-1.525226598,On
Main Optic,27/06/2018 02:04,-2.028949314,Off
Main Optic,27/06/2018 22:09,-1.975040125,On
Main Optic,28/06/2018 02:39,-0.499797598,Off
Main Optic,28/06/2018 21:45,-0.990596209,On
Main Optic,29/06/2018 02:15,-1.661522809,On
Main Optic,29/06/2018 02:43,-0.285762788,Off
Main Optic,29/06/2018 22:34,-3.337713023,On
Main Optic,30/06/2018 02:03,-2.181878317,Off
Main Optic,30/06/2018 22:42,-4.478892278,On
Main Optic,01/07/2018 02:18,-1.639139212,Off
Main Optic,01/07/2018 21:50,-1.303401477,On
Main Optic,02/07/2018 02:22,-1.520510886,Off
Main Optic,02/07/2018 21:49,-1.302951218,On
Main Optic,03/07/2018 02:53,0.074468932,Off
Main Optic,03/07/2018 21:56,-1.683702888,On
Main Optic,04/07/2018 02:43,-0.628005852,Off
Main Optic,04/07/2018 18:53,14.35856198,On
Main Optic,04/07/2018 18:54,14.22308176,Off
Main Optic,04/07/2018 21:39,-0.898431024,On
Main Optic,05/07/2018 02:34,-1.170181626,Off
Main Optic,05/07/2018 19:30,10.15250588,On
Main Optic,05/07/2018 19:31,10.03089863,Off
Main Optic,05/07/2018 22:26,-3.436053447,On
Main Optic,06/07/2018 03:26,2.179885609,Off
Main Optic,06/07/2018 22:21,-3.058457324,On
Main Optic,07/07/2018 02:14,-2.207620446,Off
Main Optic,07/07/2018 21:58,-2.001343183,On
Main Optic,08/07/2018 03:00,0.092599122,Off
Main Optic,08/07/2018 21:46,-1.529927796,On
Main Optic,09/07/2018 02:44,-0.958332423,Off
Main Optic,09/07/2018 21:53,-1.912769077,On
Main Optic,10/07/2018 02:42,-1.144609397,Off
Main Optic,10/07/2018 21:41,-1.409362257,On
Main Optic,11/07/2018 02:46,-1.072870213,Off
Main Optic,11/07/2018 21:41,-1.533353456,On
Main Optic,12/07/2018 03:34,2.174350168,Off
Main Optic,12/07/2018 21:44,-1.729176047,On
Main Optic,13/07/2018 03:00,-0.493098517,Off
Main Optic,13/07/2018 21:38,-1.539067976,On
Main Optic,14/07/2018 03:11,0.130131992,Off
Main Optic,14/07/2018 21:24,-0.881221508,On
Main Optic,15/07/2018 03:13,0.125835537,Off
Main Optic,15/07/2018 21:38,-1.741673052,On
Main Optic,16/07/2018 02:58,-0.94803015,Off
Main Optic,16/07/2018 21:30,-1.443556105,On
Main Optic,17/07/2018 02:56,-1.136649666,Off
Main Optic,17/07/2018 21:46,-2.326805326,On
Main Optic,18/07/2018 03:13,-0.27064243,Off
Main Optic,18/07/2018 20:25,3.070924981,On
Main Optic,18/07/2018 20:27,2.972290859,Off
Main Optic,18/07/2018 22:10,-5.11089267,On
Main Optic,19/07/2018 03:16,-0.221576126,Off
Main Optic,19/07/2018 21:28,-1.661704877,On
Main Optic,20/07/2018 03:37,1.237555145,Off
Main Optic,20/07/2018 21:25,-1.596013291,On
Main Optic,20/07/2018 21:25,-1.596898548,On
Main Optic,21/07/2018 03:03,-1.268556734,Off
Main Optic,21/07/2018 21:24,-1.666772023,On
Main Optic,22/07/2018 03:38,1.004315284,Off
Main Optic,22/07/2018 21:19,-1.558926645,On
Main Optic,23/07/2018 03:20,-0.526215596,Off
Main Optic,23/07/2018 21:47,-4.065144178,On
Main Optic,24/07/2018 03:50,1.641816967,Off
Main Optic,24/07/2018 21:26,-2.201922787,On
Main Optic,25/07/2018 03:10,-1.436176299,Off
Main Optic,25/07/2018 21:36,-3.116789487,On
Main Optic,26/07/2018 03:07,-1.729796313,Off
Main Optic,26/07/2018 21:03,-1.188243314,On
Main Optic,27/07/2018 03:44,0.668098582,Off
Main Optic,27/07/2018 20:51,-0.551972506,On
Main Optic,28/07/2018 03:22,-1.103575115,Off
Main Optic,28/07/2018 21:07,-1.719366934,On
Main Optic,29/07/2018 03:21,-1.332993805,Off
Main Optic,29/07/2018 20:46,-0.521326461,On
Main Optic,30/07/2018 03:42,-0.051700994,Off
Main Optic,30/07/2018 21:20,-2.943630958,On
Main Optic,31/07/2018 03:54,0.724174062,Off
Main Optic,31/07/2018 21:25,-4.426075706,On
Main Optic,01/08/2018 04:01,1.145420162,Off
Main Optic,01/08/2018 20:40,-0.594896243,On
Main Optic,02/08/2018 03:50,0.029824835,Off
Main Optic,02/08/2018 20:47,-1.264627561,On
Main Optic,03/08/2018 04:20,2.541793427,Off
Main Optic,03/08/2018 20:35,-0.645300371,On
Main Optic,04/08/2018 04:02,0.670663478,Off
Main Optic,04/08/2018 20:42,-1.289559459,On
Main Optic,05/08/2018 03:30,-1.859718571,Off
Main Optic,05/08/2018 20:32,-0.766728862,On
Main Optic,06/08/2018 04:22,2.071499471,Off
Main Optic,06/08/2018 20:58,-2.76795273,On
Main Optic,07/08/2018 03:54,-0.632214422,Off
Main Optic,07/08/2018 21:04,-4.470466386,On
Main Optic,08/08/2018 03:53,-0.891512682,Off
Main Optic,08/08/2018 21:00,-4.400117999,On
Main Optic,09/08/2018 03:52,-1.127705213,Off
Main Optic,09/08/2018 21:01,-5.047527298,On
Main Optic,10/08/2018 03:48,-1.573096939,Off
Main Optic,10/08/2018 20:55,-4.514626547,On
Main Optic,11/08/2018 04:21,0.873446032,Off
Main Optic,11/08/2018 20:54,-4.881122545,On
Main Optic,12/08/2018 03:49,-1.83400611,Off
Main Optic,12/08/2018 20:37,-2.54329735,On
Main Optic,13/08/2018 03:58,-1.370512995,Off
Main Optic,13/08/2018 20:41,-3.60558856,On
Main Optic,14/08/2018 04:11,-0.617222797,Off
Main Optic,14/08/2018 20:10,-0.99170302,On
Main Optic,15/08/2018 04:20,-0.099590528,Off
Main Optic,15/08/2018 20:20,-1.964315234,On
Main Optic,16/08/2018 04:09,-1.160438894,Off
Main Optic,16/08/2018 20:29,-3.014876875,On
Main Optic,17/08/2018 04:15,-0.904084713,Off
Main Optic,17/08/2018 20:03,-1.147053645,On
Main Optic,18/08/2018 04:25,-0.212132215,Off
Main Optic,18/08/2018 20:22,-2.907045264,On
Main Optic,19/08/2018 04:23,-0.669900044,Off
Main Optic,19/08/2018 20:08,-1.9643925,On
Main Optic,20/08/2018 04:36,0.32821012,Off
Main Optic,20/08/2018 18:27,8.25591261,On
Main Optic,20/08/2018 18:28,8.126120233,Off
Main Optic,20/08/2018 20:17,-3.027765442,On
Main Optic,21/08/2018 04:37,0.188872606,Off
Main Optic,21/08/2018 19:36,0.190617773,On
Main Optic,22/08/2018 04:31,-0.553088175,Off
Main Optic,22/08/2018 20:06,-2.489682926,On
Main Optic,23/08/2018 04:48,0.814311001,Off
Main Optic,23/08/2018 20:05,-2.72605635,On
Main Optic,24/08/2018 04:25,-1.476703547,Off
Main Optic,24/08/2018 19:54,-2.029908529,On
Main Optic,25/08/2018 04:32,-1.124548278,Off
Main Optic,25/08/2018 19:45,-1.625717784,On
Main Optic,26/08/2018 04:40,-0.614263084,Off
Main Optic,26/08/2018 19:40,-1.457272406,On
Main Optic,27/08/2018 04:59,1.022251361,Off
Main Optic,27/08/2018 19:50,-2.500030449,On
Main Optic,28/08/2018 04:38,-1.200999866,Off
Main Optic,28/08/2018 19:36,-1.564869336,On
Main Optic,29/08/2018 05:11,1.783082141,Off
Main Optic,29/08/2018 19:45,-2.59542578,On
Main Optic,30/08/2018 04:42,-1.280983196,Off
Main Optic,30/08/2018 19:43,-2.766719241,On
Main Optic,31/08/2018 04:42,-1.508389648,Off
Main Optic,31/08/2018 19:37,-2.392396486,On
Main Optic,01/09/2018 05:23,2.409419879,Off
Main Optic,01/09/2018 19:31,-2.18180788,On
Main Optic,02/09/2018 04:47,-1.42699375,Off
Main Optic,02/09/2018 19:20,-1.572629285,On
Main Optic,03/09/2018 04:55,-0.96387192,Off
Main Optic,03/09/2018 19:32,-2.871154541,On
Main Optic,04/09/2018 04:54,-1.251534515,Off
Main Optic,04/09/2018 19:17,-1.777591309,On
Main Optic,05/09/2018 05:03,-0.6780737,Off
Main Optic,05/09/2018 19:13,-1.70782797,On
Main Optic,06/09/2018 05:28,1.578742731,Off
Main Optic,06/09/2018 19:22,-2.844255335,On
Main Optic,07/09/2018 05:25,1.069774323,Off
Main Optic,07/09/2018 19:08,-1.786701714,On
Main Optic,08/09/2018 05:15,-0.278031094,Off
Main Optic,08/09/2018 19:02,-1.558842548,On
Main Optic,09/09/2018 05:48,3.180476092,Off
Main Optic,09/09/2018 18:59,-1.559829083,On
Main Optic,10/09/2018 05:16,-0.556759668,Off
Main Optic,10/09/2018 19:01,-2.01036501,On
Main Optic,11/09/2018 05:37,1.306586053,Off
Main Optic,11/09/2018 18:37,-0.157507431,On
Main Optic,12/09/2018 05:21,-0.614395686,Off
Main Optic,12/09/2018 18:57,-2.20153432,On
